text,time_morning,time_noon,time_afternoon,time_evening,time_late_night,time_weekday,time_weekend,time_busy,time_relaxed,time_quick_meal,weather_hot,weather_cold,weather_rainy,weather_sunny,weather_humid,weather_dry,weather_windy,weather_stormy,weather_cloudy,weather_mild,mood_happy,mood_sad,mood_stressed,mood_excited,mood_tired,mood_energetic,mood_adventurous,mood_lazy,mood_social,mood_comfort_seek
"Sang nay toi can bua an nhanh de kip hop",1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Trua nong nhu do lua, toi muon mon mat lanh",0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Chieu mua em can mon nong am bung",0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Toi muon an toi voi ban be cho vui",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
"Dem khuya roi, cho mon nao gon nhe",0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
"Hom nay troi lanh, minh muon mon nuoc nong",0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
"Cuoi tuan toi muon an la mieng, cam giac phi luu",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"Dang met va buon, cho mon an comfort",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"Toi vua tap gym xong, can bua nang luong",0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
"Troi nang gat, toi thich mon chua cay nhe",0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"Mua bao ngoai troi, minh can mon nong va nhanh",0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
"Sang cuoi tuan thu gian, cho mon brunch",1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0
"Toi can bua trua gon le de tiep tuc lam viec",0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Buoi chieu oi buc, toi chi muon mon thanh mat",0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Toi toi nay muon an voi gia dinh am cung",0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"Dem roi van con lam viec, mon nao de an nhanh",0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
"Sang nay toi dang vui va muon thu mon moi",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
"Troi am u, tam trang toi hoi chan",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1
"Toi can bua an nhe nhang de de tieu",0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"Ngay nghi muon an mon nuoc nong de thu gian",0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
"Toi dang hao huc di choi, cho mon an cam hung",0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
"Sang som troi gio, toi can bua nong gon",1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"Trua nay toi buon ngu va met, can mon de tinh tao",0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
"Chieu muon an gi do ngon la de doi vi",0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0
"Toi toi nay can mon de an cung dong nghiep",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"Dem khuya lanh va mua, toi can mon nong de ngu ngon",0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"Ngay cuoi tuan nong buc, cho mon mat va nhanh",0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"Toi dang stress vi deadline, can bua de chiu",0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
"Sang cuoi tuan vui ve, muon mon an nhe de tam su",1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
"Troi se lanh vao toi, cho mon ham nong hoi",0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
"Toi can bua trua nhanh, dang ban qua",0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Mua phun phoi, minh hoi buon va can mon an comfort",0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"Toi rat phan khich, muon mon dac biet",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
