text,tags
"Sáng nay mình cần ăn nhanh để kịp họp","time_morning|pref_instant|pref_convenient"
"Trưa nóng quá, muốn món mát dễ ăn","time_noon|weather_hot|pref_cold|pref_bland"
"Chiều mưa, muốn ăn gì nóng ấm bụng","time_afternoon|weather_rain|pref_soup|pref_warm_drink"
"Tối nay tụ tập bạn bè, muốn món lai rai","time_evening|mood_gathering|pref_finger_food|pref_flavorful"
"Đêm rồi mà vẫn đói cồn cào","time_night|mood_starving|pref_instant"
"Hôm nay lạnh, mình muốn món nước","weather_cold|pref_soup|pref_warm_drink|mood_sluggish"
"Mình đang stress vì deadline","mood_stressed|pref_flavorful|pref_sweet"
"Đang bệnh và đau họng, muốn món mềm","mood_sick|pref_soft|pref_soup|pref_herbal"
"Cuối tuần muốn ăn nướng lẩu","mood_gathering|pref_bbq_hotpot|time_evening"
"Buồn miệng, muốn đổi vị chua cay","mood_bored_taste|pref_sour|pref_spicy"
"Sáng nay uể oải, cần gì đó tỉnh táo","time_morning|mood_sluggish|pref_caffeine"
"Trời bình thường, muốn ăn cơm đậm đà","weather_normal|pref_rice|pref_flavorful"
"Tối xem phim cần đồ ăn vặt","time_evening|time_snacks|mood_watching_movie|pref_finger_food"
"Mình hơi cô đơn, muốn món ấm áp","mood_lonely|pref_warm_drink|pref_soup"
"Đang vui và muốn thử món lạ","mood_happy|mood_excited|pref_raw|pref_high_protein"
"Đêm rồi nên tránh đồ caffein","time_night|pref_bland|pref_warm_drink"
"Mưa to, muốn đồ nóng và mềm","weather_rain|weather_storm|pref_soft|pref_soup"
"Trưa nay bận, cần món tiện lợi","time_noon|pref_convenient|pref_instant"
"Mình muốn món ít béo, giàu đạm","pref_low_fat|pref_high_protein|mood_normal"
"Chiều nay muốn trà trái cây","time_afternoon|pref_tea_base|pref_fruity|pref_cold"
"Tối nay muốn đồ uống có ga","time_evening|pref_fizzy|mood_gathering"
"Sáng muốn món chay thanh đạm","time_morning|pref_vegetarian|pref_bland"
"Đang đói và lười nấu","mood_starving|mood_lazy|pref_instant"
"Cần món giòn để nhâm nhi","pref_crunchy|pref_finger_food|time_snacks"
"Mình thích vị béo sữa","pref_milky|pref_sweet|mood_happy"
"Trời nóng, muốn món chua ngọt nhẹ","weather_hot|pref_sour|pref_sweet|pref_cold"
"Chiều tụ tập buôn chuyện","time_afternoon|mood_gossip|mood_gathering|pref_finger_food"
"Tối muốn món cơm no lâu","time_evening|pref_rice|pref_flavorful"
"Mình muốn đồ tươi sống","pref_raw|mood_excited|weather_normal"
"Lạnh và mệt, muốn đồ bổ dưỡng","weather_cold|mood_exhausted|pref_warm_drink|pref_high_protein"
