text,tags
Sáng sớm mình vội đi làm,time_morning|pref_instant|pref_convenient
Buổi sáng cần bữa no nhanh,time_morning|pref_rice|mood_starving
Sáng nay dậy muộn cần ăn gấp,time_morning|pref_instant|mood_lazy
Trưa nay bận họp nên ăn nhanh,time_noon|pref_instant|pref_convenient
Giờ trưa muốn cơm văn phòng,time_noon|pref_rice|pref_flavorful
Trưa nóng quá muốn món mát,time_noon|weather_hot|pref_cold
Chiều nay uể oải cần đồ uống,time_afternoon|mood_sluggish|pref_tea_base
Buổi chiều muốn bánh ngọt,time_afternoon|pref_sweet|pref_milky
Chiều mưa thích món nóng,time_afternoon|weather_rain|pref_soup
Tối nay tụ tập bạn bè,time_evening|mood_gathering|pref_finger_food
Buổi tối muốn lẩu nướng,time_evening|pref_bbq_hotpot|mood_gathering
Tối rồi muốn cơm đậm đà,time_evening|pref_rice|pref_flavorful
Đêm khuya mà vẫn đói,time_night|mood_starving|pref_instant
Khuya rồi muốn mì gói,time_night|pref_instant|mood_lazy
Đêm nay tránh caffein,time_night|pref_bland|pref_warm_drink
Muốn ăn vặt chiều tối,time_snacks|time_afternoon|pref_finger_food
Giờ ăn vặt thèm bánh tráng,time_snacks|pref_crunchy|pref_spicy
Ăn vặt xem phim buổi tối,time_snacks|mood_watching_movie|time_evening
Trời nóng quá muốn món mát,weather_hot|pref_cold|pref_bland
Nắng gắt thèm đồ lạnh,weather_hot|pref_cold|time_noon
Nóng bức cần trà đá,weather_hot|pref_tea_base|pref_cold
Hôm nay lạnh muốn món nước,weather_cold|pref_soup|pref_warm_drink
Trời lạnh cần lẩu nóng,weather_cold|pref_bbq_hotpot|time_evening
Lạnh giá muốn cháo ấm,weather_cold|pref_soft|pref_soup
Trời mưa muốn món nóng,weather_rain|pref_soup|pref_warm_drink
Mưa lất phất thích cháo,weather_rain|pref_soft|pref_soup
Mưa nên ở nhà nấu lẩu,weather_rain|pref_bbq_hotpot|mood_lazy
Bão đang đổ ngoài kia,weather_storm|weather_rain|pref_instant
Mưa bão ở nhà nấu mì,weather_storm|pref_instant|mood_lazy
Bão to chỉ dám ăn đồ khô,weather_storm|pref_dry|pref_convenient
Thời tiết bình thường ăn cơm,weather_normal|pref_rice|mood_normal
Trời ổn muốn món quen,weather_normal|mood_normal|pref_flavorful
Hôm nay thời tiết dễ chịu,weather_normal|time_afternoon|pref_rice
Mình mệt quá cần đồ bổ,mood_exhausted|pref_high_protein|pref_warm_drink
Kiệt sức sau làm muốn nóng,mood_exhausted|pref_soup|time_evening
Mệt mỏi uống trà thảo mộc,mood_exhausted|pref_herbal|pref_warm_drink
Uể oải cần cà phê,mood_sluggish|pref_caffeine|time_morning
Lờ đờ muốn trà đặc,mood_sluggish|pref_tea_base|pref_caffeine
Buồn ngủ chiều nay,mood_sluggish|time_afternoon|pref_caffeine
Hôm nay bình thường ăn cơm,mood_normal|pref_rice|weather_normal
Tâm trạng ổn muốn món quen,mood_normal|pref_flavorful|time_noon
Không đặc biệt gì hôm nay,mood_normal|weather_normal|pref_convenient
Hôm nay vui muốn ăn ngon,mood_happy|pref_flavorful|pref_sweet
Vui vẻ thèm trà sữa,mood_happy|pref_milky|pref_tea_base
Tâm trạng tốt muốn thử món lạ,mood_happy|mood_excited|pref_raw
Hào hứng thử món mới,mood_excited|pref_raw|pref_flavorful
Phấn khích muốn buffet,mood_excited|pref_rich|mood_gathering
Hào hứng đi ăn tối,mood_excited|time_evening|pref_bbq_hotpot
Đói cồn cào cần cơm ngay,mood_starving|pref_rice|pref_instant
Đói me muốn no nhanh,mood_starving|pref_instant|pref_rice
